ID	DOCULECT	ISO_CODE	CONCEPT	CONCEPTICON_ID	IPA	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID
44	Sora	srb	I, me		iɲ	i ɲ	i H	V N	I N	1	1
45	Car	caq	I, me		cin	c i n	T i n	K V N	C I N	15	7
46	Nancowri	ncb	I, me		ca	c a	T a	K V	C A	15	7
47	Lawa-Ratanakul	lcp	I, me		ʔe	ʔ e	7 e	H V	H E	11	3
48	ManMet	mml	I, me		ɔʔ⁵³	ɔ ʔ	o 7	V H	U H	11	3
49	Palaung-Dara_ang	pce	I, me		Ɂo	Ɂ o	7 o	H V	H U	11	3
50	Palaung-Kalaw	pce	I, me		ʔowniː	ʔow niː	7 n	H N	H N	11	3
51	Palaung-Namhsan	pce	I, me		ʔɔ	ʔ ɔ	7 o	H V	H U	11	3
52	Riang-Sak	ril	I, me		ʔoʔ¹	ʔ o ʔ	7 o 7	H V H	H U H	11	3
53	Wa-Praok	prk	I, me		aə	aə	a	V	A	11	3
54	Karii	pkt	I, me		tɛːʔ	t ɛː ʔ	t E 7	T V H	T E H	18	8
55	Ruc	scb	I, me		ho	h o	h o	H V	H U	18	8
56	Bahnar-Golar	bdq	alcohol/liquor		hədroː	h ə d r oː	h I d r o	H V T R V	H E T R U	2	18
57	Bahnar-Kontum	bdq	alcohol/liquor		siːk	s iː k	s i k	S V K	S I K	3	26
58	Bahnar-Pleiku	bdq	alcohol/liquor		siːk	s iː k	s i k	S V K	S I K	3	26
59	Jeh	jeh	alcohol/liquor		nnah	nn a h	n a h	N V H	N A H	42	33
60	Sre	kpm	alcohol/liquor		tərnom	t ə r n o m	t I r n o m	T V R N V M	T E R N U M	5	34
61	Bru-Ubon	bru	alcohol/liquor		blɔŋ	b l ɔ ŋ	b l o N	P R V N	P L U N	6	35
62	Katang	kgd	alcohol/liquor		blɔŋ	b l ɔ ŋ	b l o N	P R V N	P L U N	6	35
63	Kui-Sriwises1978	kdt	alcohol/liquor		blɔŋ	b l ɔ ŋ	b l o N	P R V N	P L U N	6	35
64	Kui-Huffman1979	kdt	alcohol/liquor		blɑŋ	b l ɑ ŋ	b l o N	P R V N	P L A N	6	35
65	Mankong	sss	alcohol/liquor		blɑŋ	b l ɑ ŋ	b l o N	P R V N	P L A N	6	35
66	Nge	ngt	alcohol/liquor		riːw	r iː w	r i w	R V W	R I W	39	31
67	Pacoh	pac	alcohol/liquor		ʔariəw	ʔ a r iə w	7 a r i w	H V R V W	H A R I W	39	31
68	So-Khammouane	sss	alcohol/liquor		blɑŋ	b l ɑ ŋ	b l o N	P R V N	P L A N	6	35
69	So-SakonNakhon	sss	alcohol/liquor		blɑŋ	b l ɑ ŋ	b l o N	P R V N	P L A N	6	35
70	Souei-Saravan	kdt	alcohol/liquor		blɔŋ	b l ɔ ŋ	b l o N	P R V N	P L U N	6	35
71	TaOi	tto	alcohol/liquor		riːw	r iː w	r i w	R V W	R I W	8	36
72	Khasi	khi	alcohol/liquor		kʔiat	k ʔ ia t	k 7 i t	K H V T	K H I T	12	13
73	Pnar	pbv	alcohol/liquor		kiat	k ia t	k i t	K V T	K I T	12	13
74	War-Lamin	aml	alcohol/liquor		rʊə	r ʊə	r u	R V	R Y	13	14
75	Khmer-Surin	kxm	alcohol/liquor		sraː	s r aː	s r a	S R V	S R A	14	15
76	Khmer-Standard	khm	alcohol/liquor		sraː	s r aː	s r a	S R V	S R A	14	15
77	Idu	tyh	alcohol/liquor		brâ̰ːj	b r â̰ː j	b r a y	P R V J	P R A J	15	16
78	Khmu-Cuang	kjg	alcohol/liquor		buːc	b uː c	b u T	P V K	P Y C	16	17
79	Khmu-Yuan	kjg	alcohol/liquor		pùːc	p uː c	p u T	P V K	P Y C	16	17
80	Mal-T_in	mlf	alcohol/liquor		puc	p u c	p u T	P V K	P Y C	16	17
81	Bugan	bbh	alcohol/liquor		ʦa³³	ʦ a	c a	K V	C A	20	19
82	Mon	mnw	alcohol/liquor		ʔarèak	ʔ a r èa k	7 a r e k	H V R V K	H A R E K	21	20
83	Nyahkur	cbn	alcohol/liquor		cʰəra̤ːʔ	cʰ ə r a̤ː ʔ	T I r a 7	K V R V H	C E R A H	21	20
84	Gorum	pcj	alcohol/liquor		ali	a l i	a l i	V R V	A L I	22	21
85	Kharia	khr	alcohol/liquor		dakh	d a k h	d a k h	T V K H	T A K H	24	22
86	Santali	sat	alcohol/liquor		hãɖi	h ã ɖ i	h a d i	H V T V	H A T I	28	24
87	Sora	srb	alcohol/liquor		ʌli	ʌ l i	o l i	V R V	E L I	22	21
88	Car	caq	alcohol/liquor		ʔajɛ̃ː	ʔ a j ɛ̃ː	7 a y E	H V J V	H A J E	29	25
89	Lawa-Ratanakul	lcp	alcohol/liquor		plaj	p l a j	p l a y	P R V J	P L A J	34	28
90	ManMet	mml	alcohol/liquor		tɔn³¹	t ɔ n	t o n	T V N	T U N	40	32
91	Palaung-Dara_ang	pce	alcohol/liquor		pawh	p a w h	p a w h	P V W H	P A W H	35	29
92	Palaung-Kalaw	pce	alcohol/liquor		paoh	p ao h	p a h	P V H	P A H	35	29
93	Palaung-Namhsan	pce	alcohol/liquor		bah	b a h	b a h	P V H	P A H	35	29
94	Riang-Sak	ril	alcohol/liquor		kᵊɗɑw¹	kᵊ ɗ ɑ w	k d o w	K T V W	K T A W	32	27
95	Wa-Praok	prk	alcohol/liquor		plai	p l ai	p l a	P R V	P L A	34	28
96	Karii	pkt	alcohol/liquor		kɨ̀nʔ	k ɨ̀ n ʔ	k I n 7	K V N H	K I N H	38	30
97	Ruc	scb	alcohol/liquor		pədoː¹	p ə d oː	p I d o	P V T V	P E T U	32	27
98	Vietnamese	vie	alcohol/liquor		rượu	r u o u	r u o u	R V V V	R Y U Y	39	31
99	Alak	alk	alive/live		pʻroːs	pʻ r oː s	p r o s	P R V S	P R U S	4	51
100	Bahnar-Golar	bdq	alive/live		hədrih	h ə d r i h	h I d r i h	H V T R V H	H E T R I H	2	42
101	Bahnar-Kontum	bdq	alive/live		ʔadrih	ʔ a d r i h	7 a d r i h	H V T R V H	H A T R I H	2	42
102	Bahnar-Pleiku	bdq	alive/live		ʔadrih	ʔ a d r i h	7 a d r i h	H V T R V H	H A T R I H	2	42
103	Brao	brb	alive/live		ɲiw	ɲ i w	H i w	N V W	N I W	4	51
104	Cua	cua	alive/live		rilh	r i l h	r i l h	R V R H	R I L H	2	42
105	Halang	hal	alive/live		pe̤ːn	p e̤ː n	p e n	P V N	P E N	5	52
106	Jeh	jeh	alive/live		pe̤ːn	p e̤ː n	p e n	P V N	P E N	5	52
107	Jru-Laven	lbo	alive/live		dɛj	d ɛ j	d E y	T V J	T E J	6	53
108	Mnong-Rolom	mng	alive/live		breh	b r e h	b r e h	P R V H	P R E H	2	42
109	Nyaheun	nev	alive/live		ɲiw	ɲ i w	H i w	N V W	N I W	4	51
110	Rengao	ren	alive/live		həri̤h	h ə r i̤ h	h I r i h	H V R V H	H E R I H	2	42
111	Sedang	sed	alive/live		rɛh	r ɛ h	r E h	R V H	R E H	2	42
112	Sre	kpm	alive/live		ris	r i s	r i s	R V S	R I S	2	42
113	Stieng	sti	alive/live		reh	r e h	r e h	R V H	R E H	2	42
114	Bru-Talan	oog	alive/live		moŋʔ	m o ŋ ʔ	m o N 7	M V N H	M U N H	7	54
115	Bru-Ubon	bru	alive/live		nɔ̤ŋʔaːmɔ̤ŋ	nɔ̤ŋ ʔaːmɔ̤ŋ	n 7	N H	N H	7	54
116	In	irr	alive/live		naŋmoŋˀ	naŋ moŋˀ	n m	N M	N M	7	54
117	Katu-AnDiem	ktv	alive/live		mamoŋ	m a m o ŋ	m a m o N	M V M V N	M A M U N	7	54
118	Kui-Sriwises1978	kdt	alive/live		təmoŋ	t ə m o ŋ	t I m o N	T V M V N	T E M U N	7	54
119	Kui-Huffman1979	kdt	alive/live		təmɑŋ	t ə m ɑ ŋ	t I m o N	T V M V N	T E M A N	7	54
120	Nge	ngt	alive/live		moŋ	m o ŋ	m o N	M V N	M U N	7	54
121	Pacoh	pac	alive/live		tumo̰ŋ	t u m o̰ ŋ	t u m o N	T V M V N	T Y M U N	7	54
122	So-Khammouane	sss	alive/live		ʔəːtpanʔəːt	ʔəːt pan ʔəːt	7 p 7	H P H	H P H	8	55
123	So-SakonNakhon	sss	alive/live		ʔəːt	ʔ əː t	7 I t	H V T	H E T	8	55
124	Souei-Saravan	kdt	alive/live		nɔŋ	n ɔ ŋ	n o N	N V N	N U N	9	56
125	TaOi	tto	alive/live		moŋˀ	m o ŋˀ	m o N	M V N	M U N	7	54
126	Khasi	khi	alive/live		ʔim	ʔ i m	7 i m	H V M	H I M	10	37
127	Pnar	pbv	alive/live		ʔim	ʔ i m	7 i m	H V M	H I M	10	37
128	War-Lamin	aml	alive/live		pʔem	p ʔ e m	p 7 e m	P H V M	P H E M	10	37
129	Khmer-Surin	kxm	alive/live		ruah	r ua h	r u h	R V H	R Y H	2	42
130	Khmer-Standard	khm	alive/live		rʊəh	r ʊə h	r u h	R V H	R Y H	2	42
131	Idu	tyh	alive/live		rîəh	r îə h	r i h	R V H	R I H	2	42
132	Khmu-Cuang	kjg	alive/live		blɨər	b l ɨə r	b l I r	P R V R	P L I R	11	38
133	Khmu-Yuan	kjg	alive/live		prɨal	p r ɨa l	p r I l	P R V R	P R I L	11	38
134	Mal-T_in	mlf	alive/live		jih	j i h	y i h	J V H	J I H	2	42
135	Bugan	bbh	alive/live		kai³³	k ai	k a	K V	K A	17	39
136	Mang	zng	alive/live		miːn¹	m iː n	m i n	M V N	M I N	18	40
137	Nyahkur	cbn	alive/live		kʰəɲùŋ	kʰ ə ɲ u ŋ	k I H u N	K V N V N	K E N Y N	19	41
138	Mon	mnw	alive/live		càŋ	c à ŋ	T a N	K V N	C A N	20	43
139	Gorum	pcj	alive/live		mḛŋ	m ḛ ŋ	m e N	M V N	M E N	22	44
140	Kharia	khr	alive/live		bɔˈrɔl	b ɔ ˈr ɔ l	b o r o l	P V R V R	P U R U L	26	46
141	Santali	sat	alive/live		waɲcaw	w a ɲ c a w	w a H T a w	W V N K V W	W A N C A W	30	48
142	Sora	srb	alive/live		mʔɛŋ	m ʔ ɛ ŋ	m 7 E N	M H V N	M H E N	22	44
143	Car	caq	alive/live		ʔãh	ʔ ã h	7 a h	H V H	H A H	2	42
144	Nancowri	ncb	alive/live		ʔæ̃h	ʔ æ̃ h	7 E h	H V H	H E H	2	42
145	Lawa-Ratanakul	lcp	alive/live		ʔaɨt	ʔ aɨ t	7 a t	H V T	H A T	34	49
146	ManMet	mml	alive/live		im³⁵	i m	i m	V M	I M	10	37
147	Palaung-Dara_ang	pce	alive/live		Ɂim	Ɂ i m	7 i m	H V M	H I M	10	37
148	Palaung-Namhsan	pce	alive/live		ʔim	ʔ i m	7 i m	H V M	H I M	10	37
149	Riang-Sak	ril	alive/live		ʔim¹	ʔ i m	7 i m	H V M	H I M	10	37
150	Wa-Praok	prk	alive/live		ʔim	ʔ i m	7 i m	H V M	H I M	10	37
151	Karii	pkt	alive/live		clɔ̀ŋʔ	c l ɔ̀ ŋ ʔ	T l o N 7	K R V N H	C L U N H	36	50
152	Ruc	scb	alive/live		kloːŋ³	k l oː ŋ	k l o N	K R V N	K L U N	36	50
153	Vietnamese	vie	alive/live		sống	s o n g	s o n g	S V N K	S U N K	36	50
154	Alak	alk	ant		mboːc	m b oː c	m b o T	M P V K	M P U C	3	68
155	Bahnar-Golar	bdq	ant		hmoːc	h m oː c	h m o T	H M V K	H M U C	3	68
156	Bahnar-Kontum	bdq	ant		hmoc	h m o c	h m o T	H M V K	H M U C	3	68
157	Bahnar-Pleiku	bdq	ant		hmoːc	h m oː c	h m o T	H M V K	H M U C	3	68
158	Brao	brb	ant		moːc	m oː c	m o T	M V K	M U C	3	68
159	Cua	cua	ant		ramuːt	r a m uː t	r a m u t	R V M V T	R A M Y T	3	68
160	Halang	hal	ant		muːt	m uː t	m u t	M V T	M Y T	3	68
161	Jeh	jeh	ant		mut	m u t	m u t	M V T	M Y T	3	68
162	Jru-Laven	lbo	ant		hmoːc	h m oː c	h m o T	H M V K	H M U C	3	68
163	Mnong-Rolom	mng	ant		saːm	s aː m	s a m	S V M	S A M	5	69
164	Nyaheun	nev	ant		hmoːc	h m oː c	h m o T	H M V K	H M U C	3	68
165	Sedang	sed	ant		hmuj	h m u j	h m u y	H M V J	H M Y J	3	68
166	Sre	kpm	ant		ŋɔɲ	ŋ ɔ ɲ	N o H	N V N	N U N	7	70
167	Stieng	sti	ant		cʰiam	cʰ ia m	T i m	K V M	C I M	5	69
168	Bru-Talan	oog	ant		mic	m i c	m i T	M V K	M I C	3	68
169	Bru-Ubon	bru	ant		səmuːc	s ə m uː c	s I m u T	S V M V K	S E M Y C	3	68
170	In	irr	ant		mit	m i t	m i t	M V T	M I T	3	68
171	Katang	kgd	ant		həmʊjʔ	h ə m ʊ j ʔ	h I m u y 7	H V M V J H	H E M Y J H	3	68
172	Katu-AnDiem	ktv	ant		ʔaʄɛn	ʔ a ʄ ɛ n	7 a C E n	H V K V N	H A C E N	8	71
173	Kui-Sriwises1978	kdt	ant		mhoːc	m h oː c	m h o T	M H V K	M H U C	3	68
174	Kui-Huffman1979	kdt	ant		səmoːc	s ə m oː c	s I m o T	S V M V K	S E M U C	3	68
175	Mankong	sss	ant		səmuːjʔ	s ə m uː j ʔ	s I m u y 7	S V M V J H	S E M Y J H	3	68
176	Nge	ngt	ant		mic	m i c	m i T	M V K	M I C	3	68
177	Pacoh	pac	ant		ʔamuːjʔ	ʔ a m uː j ʔ	7 a m u y 7	H V M V J H	H A M Y J H	3	68
178	So-Khammouane	sss	ant		simuːc	s i m uː c	s i m u T	S V M V K	S I M Y C	3	68
179	So-SakonNakhon	sss	ant		səmuːt	s ə m uː t	s I m u t	S V M V T	S E M Y T	3	68
180	Souei-Saravan	kdt	ant		səmuːc	s ə m uː c	s I m u T	S V M V K	S E M Y C	3	68
181	TaOi	tto	ant		mic	m i c	m i T	M V K	M I C	3	68
182	Khasi	khi	ant		dkʰiew	d kʰ ie w	d k i w	T K V W	T K I W	9	72
183	Pnar	pbv	ant		tkʰu	t kʰ u	t k u	T K V	T K Y	10	57
184	War-Lamin	aml	ant		lənti	l ə n t i	l I n t i	R V N T V	L E N T I	11	58
185	Khmer-Surin	kxm	ant		smɔːc	s m ɔː c	s m o T	S M V K	S M U C	3	68
186	Khmer-Standard	khm	ant		srɑmaoc	s r ɑ m ao c	s r o m a T	S R V M V K	S R A M A C	3	68
187	Idu	tyh	ant		mɛ́ʔ	m ɛ́ ʔ	m E 7	M V H	M E H	12	59
188	Khmu-Cuang	kjg	ant		ʰmuːc	ʰm uː c	m u T	M V K	M Y C	3	68
189	Khmu-Yuan	kjg	ant		múːc	m úː c	m u T	M V K	M Y C	3	68
190	Mal-T_in	mlf	ant		moːc	m oː c	m o T	M V K	M U C	3	68
191	Bugan	bbh	ant		ɣen³¹	ɣ e n	x e n	K V N	G E N	13	60
192	Mang	zng	ant		ʔaŋ²maj⁶	ʔaŋ² maj⁶	7 m	H M	H M	14	61
193	Mon	mnw	ant		həmo̱t	h ə m o̱ t	h I m o t	H V M V T	H E M U T	3	68
194	Nyahkur	cbn	ant		hmu̱ac	h m u̱a c	h m u T	H M V K	H M Y C	3	68
195	Gorum	pcj	ant		mumoj	m u m o j	m u m o y	M V M V J	M Y M U J	3	68
196	Kharia	khr	ant		muˀɟɖɑʔ	m uˀ ɟ ɖ ɑ ʔ	m u C d o 7	M V K T V H	M Y C T A H	3	68
197	Santali	sat	ant		muc˺	m u c˺	m u T	M V K	M Y C	3	68
198	Sora	srb	ant		muɟ	m u ɟ	m u C	M V K	M Y C	3	68
199	Car	caq	ant		talkuc	t a l k u c	t a l k u T	T V R K V K	T A L K Y C	18	62
200	Nancowri	ncb	ant		taɲ	t a ɲ	t a H	T V N	T A N	29	67
201	Lawa-Ratanakul	lcp	ant		ʔmɔic	ʔ m ɔi c	7 m o T	H M V K	H M U C	3	68
202	ManMet	mml	ant		aʨɔh³¹	a ʨɔh³¹	a C	V K	A C	24	64
203	Palaung-Dara_ang	pce	ant		mapruɲ	ma pruɲ	m p	M P	M P	23	63
204	Palaung-Kalaw	pce	ant		mapruːŋ	ma pruːŋ	m p	M P	M P	23	63
205	Palaung-Namhsan	pce	ant		briŋ	b r i ŋ	b r i N	P R V N	P R I N	23	63
206	Riang-Sak	ril	ant		pruɲ²	p r u ɲ	p r u H	P R V N	P R Y N	23	63
207	Wa-Praok	prk	ant		mɯc	m ɯ c	m u T	M V K	M I C	3	68
208	Karii	pkt	ant		kaɲàːrʔ	k a ɲ àː r ʔ	k a H a r 7	K V N V R H	K A N A R H	26	65
209	Ruc	scb	ant		kiḛ̀m	k i ḛ̀ m	k i e m	K V V M	K I E M	28	66
210	Vietnamese	vie	ant		kiến	k i e n	k i e n	K V V N	K I E N	28	66
211	Alak	alk	arrow		plaː	p l aː	p l a	P R V	P L A	2	80
212	Bahnar-Golar	bdq	arrow		mrɔm	m r ɔ m	m r o m	M R V M	M R U M	3	86
213	Bahnar-Kontum	bdq	arrow		mrɔm	m r ɔ m	m r o m	M R V M	M R U M	3	86
214	Bahnar-Pleiku	bdq	arrow		ɓrəm	ɓ r ə m	b r I m	P R V M	P R E M	3	86
215	Brao	brb	arrow		draŋ	d r a ŋ	d r a N	T R V N	T R A N	4	87
216	Cua	cua	arrow		rʌŋ	r ʌ ŋ	r o N	R V N	R E N	4	87
217	Halang	hal	arrow		sɔar	s ɔa r	s o r	S V R	S U R	8	91
218	Jeh	jeh	arrow		plaː	p l aː	p l a	P R V	P L A	2	80
219	Jru-Laven	lbo	arrow		tɔŋ	t ɔ ŋ	t o N	T V N	T U N	9	92
220	Mnong-Rolom	mng	arrow		kamtlak	kam tlak	k t	K T	K T	6	89
221	Nyaheun	nev	arrow		tɔːŋ	t ɔː ŋ	t o N	T V N	T U N	9	92
222	Rengao	ren	arrow		raŋ	r a ŋ	r a N	R V N	R A N	4	87
223	Sedang	sed	arrow		ra̰ŋ	r a̰ ŋ	r a N	R V N	R A N	4	87
224	Sre	kpm	arrow		kam	k a m	k a m	K V M	K A M	6	89
225	Bru-Talan	oog	arrow		craˀah	c r aˀa h	T r a h	K R V H	C R A H	5	88
226	Bru-Ubon	bru	arrow		kam	k a m	k a m	K V M	K A M	6	89
227	In	irr	arrow		həra̰ːh	h ə r a̰ː h	h I r a h	H V R V H	H E R A H	5	88
228	Katang	kgd	arrow		kam	k a m	k a m	K V M	K A M	6	89
229	Katu-AnDiem	ktv	arrow		carah	c a r a h	T a r a h	K V R V H	C A R A H	5	88
230	Kui-Sriwises1978	kdt	arrow		kam	k a m	k a m	K V M	K A M	6	89
231	Nge	ngt	arrow		ncarah	n c a r a h	n T a r a h	N K V R V H	N C A R A H	5	88
232	Pacoh	pac	arrow		tarah	t a r a h	t a r a h	T V R V H	T A R A H	5	88
233	So-Khammouane	sss	arrow		kɑːntʰnṳː	kɑːn tʰnṳː	k t	K T	K T	11	73
234	So-SakonNakhon	sss	arrow		ʔaloaːŋpɛŋ	ʔaloaːŋ pɛŋ	7 p	H P	H P	12	74
235	TaOi	tto	arrow		sraːh	s r aː h	s r a h	S R V H	S R A H	5	88
236	Khasi	khi	arrow		kʰnam	kʰ n a m	k n a m	K N V M	K N A M	6	89
237	Pnar	pbv	arrow		kʰnam	kʰ n a m	k n a m	K N V M	K N A M	6	89
238	War-Lamin	aml	arrow		ham	h a m	h a m	H V M	H A M	6	89
239	Khmer-Surin	kxm	arrow		prʊːɲ	p r ʊː ɲ	p r u H	P R V N	P R Y N	13	75
240	Khmer-Standard	khm	arrow		pruəɲ	p r uə ɲ	p r u H	P R V N	P R Y N	13	75
241	Khmu-Cuang	kjg	arrow		kam	k a m	k a m	K V M	K A M	6	89
242	Khmu-Yuan	kjg	arrow		kám	k á m	k a m	K V M	K A M	6	89
243	Mal-T_in	mlf	arrow		kʰam	kʰ a m	k a m	K V M	K A M	6	89
244	Bugan	bbh	arrow		sa¹³	s a	s a	S V	S A	15	77
245	Mang	zng	arrow		paːj⁶	p aː j	p a y	P V J	P A J	16	78
246	Mon	mnw	arrow		lə̀	l ə̀	l I	R V	L E	17	79
247	Nyahkur	cbn	arrow		kám	k á m	k a m	K V M	K A M	6	89
248	Gorum	pcj	arrow		amon	a m o n	a m o n	V M V N	A M U N	6	89
249	Kharia	khr	arrow		kɔm	k ɔ m	k o m	K V M	K U M	6	89
250	Santali	sat	arrow		sar	s a r	s a r	S V R	S A R	22	81
251	Sora	srb	arrow		aʔam	a ʔ a m	a 7 a m	V H V M	A H A M	6	89
252	Car	caq	arrow		cɔk	c ɔ k	T o k	K V K	C U K	23	82
253	Nancowri	ncb	arrow		ʔãhcakabel	ʔ ã h c a k a b e l	7 a h T a k a b e l	H V H K V K V P V R	H A H C A K A P E L	23	82
254	Lawa-Ratanakul	lcp	arrow		pɨnʔak	pɨn ʔak	p 7	P H	P H	27	84
255	ManMet	mml	arrow		tăi³⁵ak⁵³	tăi³⁵ ak⁵³	t a	T V	T A	26	83
256	Palaung-Dara_ang	pce	arrow		bra	b r a	b r a	P R V	P R A	27	84
257	Palaung-Kalaw	pce	arrow		ɓlaːʔaʔ	ɓlaː ʔaʔ	b 7	P H	P H	27	84
258	Palaung-Namhsan	pce	arrow		re	r e	r e	R V	R E	28	85
259	Riang-Sak	ril	arrow		ɗɛ¹	ɗ ɛ	d E	T V	T E	26	83
260	Wa-Praok	prk	arrow		te̤	t e̤	t e	T V	T E	26	83
261	Karii	pkt	arrow		caraːh	c a r aː h	T a r a h	K V R V H	C A R A H	5	88
262	Ruc	scb	arrow		kam¹	k a m	k a m	K V M	K A M	6	89
263	Vietnamese	vie	arrow		căm	c ă m	T a m	K V M	C A M	6	89
264	Alak	alk	ashes		pʻuːh	pʻ uː h	p u h	P V H	P Y H	2	99
265	Bahnar-Golar	bdq	ashes		tənuh	t ə n u h	t I n u h	T V N V H	T E N Y H	3	106
266	Bahnar-Kontum	bdq	ashes		tənuh	t ə n u h	t I n u h	T V N V H	T E N Y H	3	106
267	Bahnar-Pleiku	bdq	ashes		tənuhʔuɲ	tənuh ʔuɲ	t 7	T H	T H	3	106
268	Brao	brb	ashes		krəʔɨh	k r ə ʔ ɨ h	k r I 7 I h	K R V H V H	K R E H I H	4	111
269	Jru-Laven	lbo	ashes		bruk	b r u k	b r u k	P R V K	P R Y K	5	112
270	Mnong-Rolom	mng	ashes		doʔbuh	doʔ buh	d b	T P	T P	2	99
271	Nyaheun	nev	ashes		bruk	b r u k	b r u k	P R V K	P R Y K	5	112
272	Rengao	ren	ashes		blɔː	b l ɔː	b l o	P R V	P L U	6	113
273	Sedang	sed	ashes		cɔj	c ɔ j	T o y	K V J	C U J	9	115
274	Sre	kpm	ashes		buːh	b uː h	b u h	P V H	P Y H	2	99
275	Stieng	sti	ashes		buh	b u h	b u h	P V H	P Y H	2	99
276	Bru-Ubon	bru	ashes		bɔh	b ɔ h	b o h	P V H	P U H	2	99
277	In	irr	ashes		bɔ̰ːh	b ɔ̰ː h	b o h	P V H	P U H	2	99
278	Katang	kgd	ashes		ʔabɔh	ʔ a b ɔ h	7 a b o h	H V P V H	H A P U H	2	99
279	Katu-AnDiem	ktv	ashes		ɓlɔː	ɓ l ɔː	b l o	P R V	P L U	6	113
280	Kui-Sriwises1978	kdt	ashes		pʰɑʔ	pʰ ɑ ʔ	p o 7	P V H	P A H	8	114
