ID	DOCULECT	ISO_CODE	CONCEPT	CONCEPTICON_ID	IPA	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID
35	GERMAN	deu	I		ɪç	ɪ ç	i S	V S	I S	I:A	1
36	LATIN	lat	I		ˈego	ˈe g o	e g o	V K V	E K U	I:A	1
37	CATALAN	cat	I		ʒɔ	ʒ ɔ	Z o	S V	S U	I:A	1
38	PORTUGUESE	por	I		eu	eu	e	V	E	I:A	1
39	SPANISH	spa	I		ʝo	ʝ o	S o	S V	S U	I:A	1
40	FRENCH	fra	I		ʒə	ʒ ə	Z I	S V	S E	I:A	1
41	ITALIAN	ita	I		io	io	i	V	I	I:A	1
42	OLD_IRISH	sga	I		m	m	m	M	M	I:D	2
43	ANCIENT_GREEK	grc	all		pȃːs	p aː s	p a s	P V S	P A S	all:L	9
44	GREEK	ell	all		pas	p a s	p a s	P V S	P A S	all:L	9
45	OSSETIC_IRON	oss	all		ɐppɐt	ɐ pp ɐ t	a p a t	V P V T	E P E T	all:J	8
46	OSSETIC_DIGOR	oss	all		ɐppɐt	ɐ pp ɐ t	a p a t	V P V T	E P E T	all:J	8
47	ORIYA	ori	all		sɔbɔ	s ɔ b ɔ	s o b o	S V P V	S U P U	all:F	5
48	BIHARI	mai	all		səb	s ə b	s I b	S V P	S E P	all:F	5
49	URDU	urd	all		səb	s ə b	s I b	S V P	S E P	all:F	5
50	MARATHI	mar	all		səɾwə	s ə ɾ w ə	s I r w I	S V R W V	S E R W E	all:F	5
51	OLD_CHURCH_SLAVONIC	chu	all		vɪ̆si	v ɪ̆ s i	v i s i	W V S V	B I S I	all:H	7
52	SERBO-CROATIAN	srp	all		svî	s v î	s v i	S W V	S B I	all:H	7
53	BULGARIAN	bul	all		ˈfsitʃki	ˈf s i t ʃ k i	f s i t S k i	P S V T S K V	B S I T S K I	all:H	7
54	MACEDONIAN	mkd	all		ˈsitɛ	ˈs i t ɛ	s i t E	S V T V	S I T E	all:H	7
55	RUSSIAN	rus	all		vsʲɛ	v sʲ ɛ	v s E	W S V	B S E	all:H	7
56	POLISH	pol	all		ˈfʂɘ̟stsɘ̟	ˈf ʂ ɘ̟ s t s ɘ̟	f S I s t s I	P S V S T S V	B S E S T S E	all:H	7
57	BELARUSIAN	bel	all		uˈsʲɛ	u ˈsʲ ɛ	u s E	V S V	Y S E	all:H	7
58	UKRAINIAN	ukr	all		ʋsi	ʋ s i	w s i	W S V	W S I	all:H	7
59	SLOVAK	slk	all		ˈfʃɛttsi	ˈf ʃ ɛ tt s i	f S E t s i	P S V T S V	B S E T S I	all:H	7
60	CZECH	ces	all		ˈfʃɪxɲɪ	ˈf ʃ ɪ x ɲ ɪ	f S i x H i	P S V K N V	B S I G N I	all:H	7
61	SORBIAN_UPPER	hsb	all		wʃɪ	w ʃ ɪ	w S i	W S V	W S I	all:H	7
62	SORBIAN_LOWER	dsb	all		wʂɛ	w ʂ ɛ	w S E	W S V	W S E	all:H	7
63	SLOVENIAN	slv	all		ʍsi	ʍ s i	w s i	M S V	M S I	all:H	7
64	OLD_NORSE	non	all		alːɪr	a lː ɪ r	a l i r	V R V R	A L I R	all:A	3
65	ICELANDIC	isl	all		ˈad̥lɪr	ˈa d̥ l ɪ r	a d l i r	V T R V R	A T L I R	all:A	3
66	FAROESE	fao	all		ˈad̥lɪɹ	ˈa d̥ l ɪ ɹ	a d l i r	V T R V R	A T L I R	all:A	3
67	NORWEGIAN_RIKSMAL	nor	all		àlːə	à lː ə	a l I	V R V	A L E	all:A	3
68	STAVANGERSK		all		ˈàdlə	ˈà d l ə	a d l I	V T R V	A T L E	all:A	3
69	OLD_SWEDISH		all		alːir	a lː i r	a l i r	V R V R	A L I R	all:A	3
70	SWEDISH	swe	all		ˈàlːa	ˈà lː a	a l a	V R V	A L A	all:A	3
71	ELFDALIAN	qov	all		olː	o lː	o l	V R	U L	all:A	3
72	DANISH	dan	all		ˈalə	ˈa l ə	a l I	V R V	A L E	all:A	3
73	DANISH_FJOLDE		all		ɔlʲ	ɔ lʲ	o l	V R	U L	all:A	3
74	GUTNISH_LAU		all		alːɛ	a lː ɛ	a l E	V R V	A L E	all:A	3
75	ENGLISH	eng	all		ɔ:l	ɔ: l	o l	V R	U L	all:A	3
76	DUTCH	nld	all		ɑlə	ɑ l ə	o l I	V R V	A L E	all:A	3
77	GERMAN	deu	all		alə	a l ə	a l I	V R V	A L E	all:A	3
78	LATIN	lat	all		ˈtoːtus	ˈt oː t u s	t o t u s	T V T V S	T U T Y S	all:C	4
79	CATALAN	cat	all		tot	t o t	t o t	T V T	T U T	all:C	4
80	PORTUGUESE	por	all		ˈtoðu	ˈt o ð u	t o 8 u	T V T V	T U D Y	all:C	4
81	SPANISH	spa	all		toðo	t o ð o	t o 8 o	T V T V	T U D U	all:C	4
82	FRENCH	fra	all		tu	t u	t u	T V	T Y	all:C	4
83	ITALIAN	ita	all		tutto	t u tt o	t u t o	T V T V	T Y T U	all:C	4
84	OLD_IRISH	sga	all		ulʹe	u lʹ e	u l e	V R V	Y L E	all:G	6
85	ANCIENT_GREEK	grc	and		kái̯	k ái̯	k a	K V	K A	and:J	17
86	GREEK	ell	and		ce̞	c e̞	T e	K V	C E	and:J	17
87	OSSETIC_IRON	oss	and		ɐmɐ	ɐ m ɐ	a m a	V M V	E M E	and:Q	20
88	OSSETIC_DIGOR	oss	and		ɐma	ɐ m a	a m a	V M V	E M A	and:Q	20
89	ORIYA	ori	and		o	o	o	V	U	and:A	11
90	BIHARI	mai	and		aur	au r	a r	V R	A R	and:A	11
91	URDU	urd	and		ʔɔɾ	ʔ ɔ ɾ	7 o r	H V R	H U R	and:A	11
92	MARATHI	mar	and		ani	a n i	a n i	V N V	A N I	and:K	18
93	OLD_CHURCH_SLAVONIC	chu	and		i	i	i	V	I	and:H	15
94	SERBO-CROATIAN	srp	and		i	i	i	V	I	and:H	15
95	BULGARIAN	bul	and		i	i	i	V	I	and:H	15
96	MACEDONIAN	mkd	and		i	i	i	V	I	and:H	15
97	RUSSIAN	rus	and		i	i	i	V	I	and:H	15
98	POLISH	pol	and		i	i	i	V	I	and:H	15
99	BELARUSIAN	bel	and		i	i	i	V	I	and:H	15
100	UKRAINIAN	ukr	and		i	i	i	V	I	and:H	15
101	SLOVAK	slk	and		a	a	a	V	A	and:W	21
102	CZECH	ces	and		a	a	a	V	A	and:W	21
103	SORBIAN_UPPER	hsb	and		a	a	a	V	A	and:W	21
104	SORBIAN_LOWER	dsb	and		a	a	a	V	A	and:W	21
105	SLOVENIAN	slv	and		in	i n	i n	V N	I N	and:H	15
106	OLD_NORSE	non	and		ɔk	ɔ k	o k	V K	U K	and:I	16
107	ICELANDIC	isl	and		ɔːɣ	ɔː ɣ	o x	V K	U G	and:I	16
108	FAROESE	fao	and		oː	oː	o	V	U	and:I	16
109	NORWEGIAN_RIKSMAL	nor	and		ɔːɡ	ɔː ɡ	o g	V K	U K	and:I	16
110	STAVANGERSK		and		oː	oː	o	V	U	and:I	16
111	OLD_SWEDISH		and		ok	o k	o k	V K	U K	and:I	16
112	SWEDISH	swe	and		ɔkː	ɔ kː	o k	V K	U K	and:I	16
113	ELFDALIAN	qov	and		oːg	oː g	o g	V K	U K	and:I	16
114	DANISH	dan	and		ɒw	ɒ w	o w	V W	O W	and:I	16
115	DANISH_FJOLDE		and		ɑ	ɑ	o	V	A	and:I	16
116	GUTNISH_LAU		and		u	u	u	V	Y	and:I	16
117	ENGLISH	eng	and		ænd	æ n d	E n d	V N T	E N T	and:B	12
118	DUTCH	nld	and		ɛn	ɛ n	E n	V N	E N	and:B	12
119	GERMAN	deu	and		ʊnt	ʊ n t	u n t	V N T	Y N T	and:B	12
120	LATIN	lat	and		et	e t	e t	V T	E T	and:F	13
121	CATALAN	cat	and		i	i	i	V	I	and:F	13
122	PORTUGUESE	por	and		i	i	i	V	I	and:F	13
123	SPANISH	spa	and		i	i	i	V	I	and:F	13
124	FRENCH	fra	and		e	e	e	V	E	and:F	13
125	ITALIAN	ita	and		e	e	e	V	E	and:F	13
126	OLD_IRISH	sga	and		ogus	o g u s	o g u s	V K V S	U K Y S	and:G	14
127	ANCIENT_GREEK	grc	animal		tʰɛ́ːr	tʰ ɛ́ː r	t E r	T V R	T E R	animal:H	27
128	GREEK	ell	animal		ˈzo̞ˌo̞	ˈz o̞ ˌo̞	z o o	S V V	S U U	animal:G	26
129	OSSETIC_IRON	oss	animal		sɐrɐgoj	s ɐ r ɐ g o j	s a r a g o y	S V R V K V J	S E R E K U J	animal:E	24
130	OSSETIC_DIGOR	oss	animal		cɐrɐgoj	c ɐ r ɐ g o j	T a r a g o y	K V R V K V J	C E R E K U J	animal:E	24
131	ORIYA	ori	animal		praɳi	p r a ɳ i	p r a n i	P R V N V	P R A N I	animal:F	25
132	BIHARI	mai	animal		janbər	j a n b ə r	y a n b I r	J V N P V R	J A N P E R	animal:D	23
133	URDU	urd	animal		ʤɑnwəɾ	ʤ ɑ n w ə ɾ	j o n w I r	K V N W V R	C A N W E R	animal:D	23
134	MARATHI	mar	animal		dzənawəɾ	d z ə n a w ə ɾ	d z I n a w I r	T S V N V W V R	T S E N A W E R	animal:D	23
135	OLD_CHURCH_SLAVONIC	chu	animal		zværɪ̆	z v æ r ɪ̆	z v E r i	S W V R V	S B E R I	animal:H	27
136	SERBO-CROATIAN	srp	animal		ʒiˈvɔ̌tiɲa	ʒ i ˈv ɔ̌ t i ɲ a	Z i v o t i H a	S V W V T V N V	S I B U T I N A	animal:G	26
137	BULGARIAN	bul	animal		ʒiˈvɔtnu	ʒ i ˈv ɔ t n u	Z i v o t n u	S V W V T N V	S I B U T N Y	animal:G	26
138	MACEDONIAN	mkd	animal		ˈʒivɔtnɔ	ˈʒ i v ɔ t n ɔ	Z i v o t n o	S V W V T N V	S I B U T N U	animal:G	26
139	RUSSIAN	rus	animal		ʐɨvɔtnɔjɛ	ʐ ɨ v ɔ t n ɔ j ɛ	Z I v o t n o y E	S V W V T N V J V	S I B U T N U J E	animal:G	26
140	POLISH	pol	animal		ˈzvjɛʐɛɰ̃	ˈz v j ɛ ʐ ɛ ɰ̃	z v y E Z E w	S W J V S V J	S B J E S E J	animal:H	27
141	BELARUSIAN	bel	animal		ʐɨˈvʲɔɫa	ʐ ɨ ˈvʲ ɔ ɫ a	Z I v o l a	S V W V R V	S I B U L A	animal:G	26
142	UKRAINIAN	ukr	animal		tʋaˈrɪna	t ʋ a ˈr ɪ n a	t w a r i n a	T W V R V N V	T W A R I N A	animal:T	31
143	SLOVAK	slk	animal		ˈzviera	ˈz v ie r a	z v i r a	S W V R V	S B I R A	animal:H	27
144	CZECH	ces	animal		ˈzviːr̝ɛ	ˈz v iː r̝ ɛ	z v i r E	S W V R V	S B I R E	animal:H	27
145	SORBIAN_UPPER	hsb	animal		ˈzwɪʀʲɔ	ˈz w ɪ ʀʲ ɔ	z w i r o	S W V R V	S W I R U	animal:H	27
146	SORBIAN_LOWER	dsb	animal		ˈzwɪrʲɛ	ˈz w ɪ rʲ ɛ	z w i r E	S W V R V	S W I R E	animal:H	27
147	SLOVENIAN	slv	animal		ʒiˈvǎːw	ʒ i ˈv ǎː w	Z i v a w	S V W V W	S I B A W	animal:G	26
148	OLD_NORSE	non	animal		dyːr	d yː r	d i r	T V R	T Y R	animal:A	22
149	ICELANDIC	isl	animal		d̥iːr	d̥ iː r	d i r	T V R	T I R	animal:A	22
150	FAROESE	fao	animal		d̥ʊiːɹ	d̥ ʊiː ɹ	d u r	T V R	T Y R	animal:A	22
151	NORWEGIAN_RIKSMAL	nor	animal		dyːɾ	d yː ɾ	d i r	T V R	T Y R	animal:A	22
152	STAVANGERSK		animal		dyːʁ	d yː ʁ	d i G	T V R	T Y R	animal:A	22
153	OLD_SWEDISH		animal		diuːr	d iuː r	d i r	T V R	T I R	animal:A	22
154	SWEDISH	swe	animal		jʉːr	j ʉː r	y I r	J V R	J Y R	animal:A	22
155	ELFDALIAN	qov	animal		krỳtyːr	k r y t yː r	k r i t i r	K R V T V R	K R Y T Y R	animal:P	30
156	DANISH	dan	animal		ˈd̥yɐ̯ˀ	ˈd̥ yɐ̯ˀ	d i	T V	T Y	animal:A	22
157	DANISH_FJOLDE		animal		deːɹd	d eː ɹ d	d e r d	T V R T	T E R T	animal:A	22
158	GUTNISH_LAU		animal		djaur	d j au r	d y a r	T J V R	T J A R	animal:A	22
159	ENGLISH	eng	animal		ænɪməl	æ n ɪ m ə l	E n i m I l	V N V M V R	E N I M E L	animal:F	25
160	DUTCH	nld	animal		dir	d i r	d i r	T V R	T I R	animal:A	22
161	GERMAN	deu	animal		ti:ɐ̯	t i:ɐ̯	t i	T V	T I	animal:A	22
162	LATIN	lat	animal		ˈbestia	ˈb e s t ia	b e s t i	P V S T V	P E S T I	animal:I	28
163	CATALAN	cat	animal		ənimal	ə n i m a l	I n i m a l	V N V M V R	E N I M A L	animal:F	25
164	PORTUGUESE	por	animal		ɐniˈmaɫ	ɐ n i ˈm a ɫ	a n i m a l	V N V M V R	E N I M A L	animal:F	25
165	SPANISH	spa	animal		animal	a n i m a l	a n i m a l	V N V M V R	A N I M A L	animal:F	25
166	FRENCH	fra	animal		animal	a n i m a l	a n i m a l	V N V M V R	A N I M A L	animal:F	25
167	ITALIAN	ita	animal		animale	a n i m a l e	a n i m a l e	V N V M V R V	A N I M A L E	animal:F	25
168	OLD_IRISH	sga	animal		anṽande	a n ṽ a n d e	a n v a n d e	V N W V N T V	A N W A N T E	animal:F	25
169	ANCIENT_GREEK	grc	ant		mýrmɛːks	m y r m ɛː k s	m i r m E k s	M V R M V K S	M Y R M E K S	ant:B	33
170	GREEK	ell	ant		mirˈmiŋɟi	m i r ˈm i ŋ ɟ i	m i r m i N C i	M V R M V N K V	M I R M I N C I	ant:B	33
171	OLD_CHURCH_SLAVONIC	chu	ant		mrɑvɪ̆jɪ̆	m r ɑ v ɪ̆ j ɪ̆	m r o v i y i	M R V W V J V	M R A B I J I	ant:A	32
172	SERBO-CROATIAN	srp	ant		mrâːv	m r âː v	m r a v	M R V W	M R A B	ant:A	32
173	BULGARIAN	bul	ant		ˈmravka	ˈm r a v k a	m r a v k a	M R V W K V	M R A B K A	ant:A	32
174	MACEDONIAN	mkd	ant		ˈmravka	ˈm r a v k a	m r a v k a	M R V W K V	M R A B K A	ant:A	32
175	RUSSIAN	rus	ant		muraˈvʲɛj	m u r a ˈvʲ ɛ j	m u r a v E y	M V R V W V J	M Y R A B E J	ant:A	32
176	POLISH	pol	ant		ˈmruvka	ˈm r u v k a	m r u v k a	M R V W K V	M R Y B K A	ant:A	32
177	BELARUSIAN	bel	ant		muˈraʂka	m u ˈr a ʂ k a	m u r a S k a	M V R V S K V	M Y R A S K A	ant:A	32
178	UKRAINIAN	ukr	ant		muˈraxa	m u ˈr a x a	m u r a x a	M V R V K V	M Y R A G A	ant:A	32
179	SLOVAK	slk	ant		ˈmravɛts	ˈm r a v ɛ t s	m r a v E t s	M R V W V T S	M R A B E T S	ant:A	32
180	CZECH	ces	ant		ˈmravɛnɛts	ˈm r a v ɛ n ɛ t s	m r a v E n E t s	M R V W V N V T S	M R A B E N E T S	ant:A	32
181	SORBIAN_UPPER	hsb	ant		ˈmroja	ˈm r o j a	m r o y a	M R V J V	M R U J A	ant:A	32
182	SORBIAN_LOWER	dsb	ant		ˈmrɔja	ˈm r ɔ j a	m r o y a	M R V J V	M R U J A	ant:A	32
183	SLOVENIAN	slv	ant		mrǎːvlja	m r ǎː v l j a	m r a v l y a	M R V W R J V	M R A B L J A	ant:A	32
184	ANCIENT_GREEK	grc	ashes		spódos	s p ó d o s	s p o d o s	S P V T V S	S P U T U S	ashes:B	35
185	GREEK	ell	ashes		ˈte̞fra	ˈt e̞ f r a	t e f r a	T V P R V	T E B R A	ashes:L	41
186	OSSETIC_IRON	oss	ashes		fɐnyk	f ɐ n y k	f a n i k	P V N V K	B E N Y K	ashes:P	44
187	OSSETIC_DIGOR	oss	ashes		funuk	f u n u k	f u n u k	P V N V K	B Y N Y K	ashes:P	44
188	ORIYA	ori	ashes		bhɔsmoɔ	b h ɔ s m oɔ	b h o s m o	P H V S M V	P H U S M U	ashes:N	43
189	BIHARI	mai	ashes		chaur	c h au r	T h a r	K H V R	C H A R	ashes:M	42
190	URDU	urd	ashes		ɾɑkʰ	ɾ ɑ kʰ	r o k	R V K	R A K	ashes:I	40
191	MARATHI	mar	ashes		ɾakʰ	ɾ a kʰ	r a k	R V K	R A K	ashes:I	40
192	OLD_CHURCH_SLAVONIC	chu	ashes		pɔpɛlʊ̆	p ɔ p ɛ l ʊ̆	p o p E l u	P V P V R V	P U P E L Y	ashes:G	38
193	SERBO-CROATIAN	srp	ashes		ˈpɛ̂pɛɔ	ˈp ɛ̂ p ɛ ɔ	p E p E o	P V P V V	P E P E U	ashes:G	38
194	BULGARIAN	bul	ashes		ˈpɛpɘɫ	ˈp ɛ p ɘ ɫ	p E p I l	P V P V R	P E P E L	ashes:G	38
195	MACEDONIAN	mkd	ashes		ˈpepɛl	ˈp e p ɛ l	p e p E l	P V P V R	P E P E L	ashes:G	38
196	RUSSIAN	rus	ashes		zɔˈɫa	z ɔ ˈɫ a	z o l a	S V R V	S U L A	ashes:Y	47
197	POLISH	pol	ashes		ˈpɔpjuw	ˈp ɔ p j u w	p o p y u w	P V P J V W	P U P J Y W	ashes:G	38
198	BELARUSIAN	bel	ashes		ˈpɔpʲɛɫ	ˈp ɔ pʲ ɛ ɫ	p o p E l	P V P V R	P U P E L	ashes:G	38
199	UKRAINIAN	ukr	ashes		ˈpɔpiɫ	ˈp ɔ p i ɫ	p o p i l	P V P V R	P U P I L	ashes:G	38
200	SLOVAK	slk	ashes		ˈpɔpɔl	ˈp ɔ p ɔ l	p o p o l	P V P V R	P U P U L	ashes:G	38
201	CZECH	ces	ashes		ˈpopɛl	ˈp o p ɛ l	p o p E l	P V P V R	P U P E L	ashes:G	38
202	SORBIAN_UPPER	hsb	ashes		ˈpɔpĕɛw	ˈp ɔ p ĕɛ w	p o p e w	P V P V W	P U P E W	ashes:G	38
203	SORBIAN_LOWER	dsb	ashes		ˈpɔpĕɛw	ˈp ɔ p ĕɛ w	p o p e w	P V P V W	P U P E W	ashes:G	38
204	SLOVENIAN	slv	ashes		pɛˈpěːw	p ɛ ˈp ěː w	p E p e w	P V P V W	P E P E W	ashes:G	38
205	OLD_NORSE	non	ashes		ˈaska	ˈa s k a	a s k a	V S K V	A S K A	ashes:A	34
206	ICELANDIC	isl	ashes		ˈaska	ˈa s k a	a s k a	V S K V	A S K A	ashes:A	34
207	FAROESE	fao	ashes		ˈœska	ˈœ s k a	E s k a	V S K V	U S K A	ashes:A	34
208	NORWEGIAN_RIKSMAL	nor	ashes		ˈàskə	ˈà s k ə	a s k I	V S K V	A S K E	ashes:A	34
209	STAVANGERSK		ashes		ˈɔ̀ska	ˈɔ̀ s k a	o s k a	V S K V	U S K A	ashes:A	34
210	OLD_SWEDISH		ashes		ˈaska	ˈa s k a	a s k a	V S K V	A S K A	ashes:A	34
211	SWEDISH	swe	ashes		stɔft	s t ɔ f t	s t o f t	S T V P T	S T U B T	ashes:H	39
212	ELFDALIAN	qov	ashes		ɑ̀skɑ	ɑ̀ s k ɑ	o s k o	V S K V	A S K A	ashes:A	34
213	DANISH	dan	ashes		ˈasg̥ʰə	ˈa s g̥ʰ ə	a s g I	V S K V	A S K E	ashes:A	34
214	DANISH_FJOLDE		ashes		ɑːsɡ	ɑː s ɡ	o s g	V S K	A S K	ashes:A	34
215	GUTNISH_LAU		ashes		ˈasko	ˈa s k o	a s k o	V S K V	A S K U	ashes:A	34
216	ENGLISH	eng	ashes		æʃɪz	æ ʃ ɪ z	E S i z	V S V S	E S I S	ashes:A	34
217	DUTCH	nld	ashes		ɑs	ɑ s	o s	V S	A S	ashes:A	34
218	GERMAN	deu	ashes		aʃə	a ʃ ə	a S I	V S V	A S E	ashes:A	34
219	LATIN	lat	ashes		ˈkinis	ˈk i n i s	k i n i s	K V N V S	K I N I S	ashes:E	36
220	CATALAN	cat	ashes		sɛndrə	s ɛ n d r ə	s E n d r I	S V N T R V	S E N T R E	ashes:E	36
221	PORTUGUESE	por	ashes		ˈsĩzɐʃ	ˈs ĩ z ɐ ʃ	s i z a S	S V S V S	S I S E S	ashes:E	36
222	SPANISH	spa	ashes		θeniθas	θ e n i θ a s	8 e n i 8 a s	T V N V T V S	D E N I D A S	ashes:E	36
223	FRENCH	fra	ashes		sɑ̃dʀ	s ɑ̃ d ʀ	s o d r	S V T R	S A T R	ashes:E	36
224	ITALIAN	ita	ashes		tʃenere	t ʃ e n e r e	t S e n e r e	T S V N V R V	T S E N E R E	ashes:E	36
225	OLD_IRISH	sga	ashes		lu:əθʹrʹəð	l u:ə θʹ rʹ ə ð	l u 8 r I 8	R V T R V T	L Y D R E D	ashes:F	37
226	ANCIENT_GREEK	grc	at		epí	e p í	e p i	V P V	E P I	at:I	56
227	GREEK	ell	at		se̞	s e̞	s e	S V	S E	at:E	53
228	OSSETIC_IRON	oss	at		sur	s u r	s u r	S V R	S Y R	at:A	48
229	OSSETIC_DIGOR	oss	at		cor	c o r	T o r	K V R	C U R	at:A	48
230	ORIYA	ori	at		re	r e	r e	R V	R E	at:M	59
231	URDU	urd	at		pəɾ	p ə ɾ	p I r	P V R	P E R	at:L	58
232	MARATHI	mar	at		t	t	t	T	T	at:G	54
233	OLD_CHURCH_SLAVONIC	chu	at		nɑ	n ɑ	n o	N V	N A	at:Q	60
234	SERBO-CROATIAN	srp	at		u	u	u	V	Y	at:J	57
235	BULGARIAN	bul	at		vɤf	v ɤ f	v o f	W V P	B E B	at:J	57
236	MACEDONIAN	mkd	at		na	n a	n a	N V	N A	at:Q	60
237	RUSSIAN	rus	at		v	v	v	W	B	at:J	57
238	POLISH	pol	at		vɛ	v ɛ	v E	W V	B E	at:J	57
239	BELARUSIAN	bel	at		u	u	u	V	Y	at:J	57
240	UKRAINIAN	ukr	at		ʋ	ʋ	w	W	W	at:J	57
241	SLOVAK	slk	at		na	n a	n a	N V	N A	at:Q	60
242	CZECH	ces	at		na	n a	n a	N V	N A	at:Q	60
243	SORBIAN_UPPER	hsb	at		wɛ	w ɛ	w E	W V	W E	at:J	57
244	SORBIAN_LOWER	dsb	at		wɛ	w ɛ	w E	W V	W E	at:J	57
245	SLOVENIAN	slv	at		v	v	v	W	B	at:J	57
246	OLD_NORSE	non	at		við	v i ð	v i 8	W V T	B I D	at:U	64
247	ICELANDIC	isl	at		çauː	ç auː	S a	S V	S A	at:Aj	51
248	FAROESE	fao	at		ɔaː	ɔaː	o	V	U	at:R	61
249	NORWEGIAN_RIKSMAL	nor	at		poː	p oː	p o	P V	P U	at:Ai	50
250	STAVANGERSK		at		poː	p oː	p o	P V	P U	at:Ai	50
251	OLD_SWEDISH		at		viːð	v iː ð	v i 8	W V T	B I D	at:U	64
252	SWEDISH	swe	at		po:	p o:	p o	P V	P U	at:Ai	50
253	ELFDALIAN	qov	at		wɪːð	w ɪː ð	w i 8	W V T	W I D	at:U	64
254	DANISH	dan	at		b̥ʰɔˀ	b̥ʰ ɔˀ	b o	P V	P U	at:Ai	50
255	DANISH_FJOLDE		at		oa	oa	o	V	U	at:Ai	50
256	GUTNISH_LAU		at		bɛɪ	b ɛɪ	b E	P V	P E	at:Ak	52
257	ENGLISH	eng	at		æt	æ t	E t	V T	E T	at:R	61
258	DUTCH	nld	at		tə	t ə	t I	T V	T E	at:V	65
259	GERMAN	deu	at		an	a n	a n	V N	A N	at:T	63
260	LATIN	lat	at		ad	a d	a d	V T	A T	at:R	61
261	CATALAN	cat	at		a	a	a	V	A	at:R	61
262	PORTUGUESE	por	at		a	a	a	V	A	at:S	62
263	SPANISH	spa	at		a	a	a	V	A	at:R	61
264	FRENCH	fra	at		a	a	a	V	A	at:R	61
265	ITALIAN	ita	at		a	a	a	V	A	at:R	61
266	OLD_IRISH	sga	at		og	o g	o g	V K	U K	at:R	61
267	ANCIENT_GREEK	grc	back		nɔ̑ːton	n ɔ̑ː t o n	n o t o n	N V T V N	N U T U N	back:Ad	68
268	GREEK	ell	back		ˈplati	ˈp l a t i	p l a t i	P R V T V	P L A T I	back:L	76
269	OSSETIC_IRON	oss	back		fɐšontɐ	f ɐ š o n t ɐ	f a S o n t a	P V S V N T V	B E S U N T E	back:T	81
270	OSSETIC_DIGOR	oss	back		fɐsontɐ	f ɐ s o n t ɐ	f a s o n t a	P V S V N T V	B E S U N T E	back:T	81
271	ORIYA	ori	back		piʈhi	p i ʈ h i	p i t h i	P V T H V	P I T H I	back:G	73
272	BIHARI	mai	back		piʈa	p i ʈ a	p i t a	P V T V	P I T A	back:G	73
