ID	DOCULECT	GLOTTOCODE	CONCEPT	CONCEPTICON_ID	IPA	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID
67	Dhangu	dhan1270	ALL		warpamʔ	w a r p a m ʔ	w a r p a m 7	W V R P V M H	W A R P A M H	ALL:121	121
68	Dhuwal	dhuw1249	ALL		warpamʔ	w a r p a m ʔ	w a r p a m 7	W V R P V M H	W A R P A M H	ALL:121	121
69	Dieri	dier1241	ALL		parcaɳa	p a r c a ɳ a	p a r T a n a	P V R K V N V	P A R C A N A	ALL:128	128
70	Dyaabugay	dyaa1242	ALL		ɲiŋajcada	ɲ i ŋ a j c a d a	H i N a y T a d a	N V N V J K V T V	N I N A J C A T A	ALL:149	149
71	Djambarrpuyngu	djam1256	ALL		bukmak	b u k m a k	b u k m a k	P V K M V K	P Y K M A K	ALL:125	125
72	Gamilaraay	gami1243	ALL		ganu	g a n u	g a n u	K V N V	K A N Y	ALL:131	131
73	Gupapuyngu	gupa1247	ALL		warpamʔ	w a r p a m ʔ	w a r p a m 7	W V R P V M H	W A R P A M H	ALL:121	121
74	Gurindji	guri1247	ALL		purpːaɳi	p u r pː a ɳ i	p u r p a n i	P V R P V N V	P Y R P A N I	ALL:129	129
75	Guyani	guya1249	ALL		kuɹu	k u ɹ u	k u r u	K V R V	K Y R Y	ALL:133	133
76	Jaru	jaru1254	ALL		waɲcuwuracara	w a ɲ c u w u r a c a r a	w a H T u w u r a T a r a	W V N K V W V R V K V R V	W A N C Y W Y R A C A R A	ALL:137	137
77	Djiwarli	djiw1241	ALL		ɖan	ɖ a n	d a n	T V N	T A N	ALL:153	153
78	Karadjeri	kara1476	ALL		wakac	w a k a c	w a k a T	W V K V K	W A K A C	ALL:165	165
79	Kartujarra	kart1247	ALL		jaɳŋala	j a ɳ ŋ a l a	y a n N a l a	J V N N V R V	J A N N A L A	ALL:1	1
80	Kaurna	kaur1267	ALL		paʈanːa	p a ʈ a nː a	p a t a n a	P V T V N V	P A T A N A	ALL:128	128
81	Kukatja	kuka1246	ALL		laltu	l a l t u	l a l t u	R V R T V	L A L T Y	ALL:120	120
82	Kuku-Yalanji	kuku1273	ALL		wubul	w u b u l	w u b u l	W V P V R	W Y P Y L	ALL:155	155
83	Gurdjar	gurd1238	ALL		βaːr	β aː r	b a r	P V R	B A R	ALL:162	162
84	Kuuku-Ya_u	kuuk1238	ALL		mukamukan	m u k a m u k a n	m u k a m u k a n	M V K V M V K V N	M Y K A M Y K A N	ALL:122	122
85	Kala_Lagaw_Ya	kala1377	ALL		muɹa	m u ɹ a	m u r a	M V R V	M Y R A	ALL:123	123
86	Margany	marg1253	ALL		biriɲ	b i r i ɲ	b i r i H	P V R V N	P I R I N	ALL:151	151
87	Martu_Wangka	mart1256	ALL		jaɳŋa	j a ɳ ŋ a	y a n N a	J V N N V	J A N N A	ALL:146	146
88	Mudburra	mudb1240	ALL		kuwaɲca	k u w a ɲ c a	k u w a H T a	K V W V N K V	K Y W A N C A	ALL:134	134
89	Muruwari	muru1266	ALL		kurukuru	k u r u k u r u	k u r u k u r u	K V R V K V R V	K Y R Y K Y R Y	ALL:133	133
90	Ngaanyatjarra	ngaa1240	ALL		piɳiɲaʈu	p i ɳ i ɲ a ʈ u	p i n i H a t u	P V N V N V T V	P I N I N A T Y	ALL:118	118
91	Lower_Riverland	lowe1402	ALL		m_upːo	m u pː o	m u p o	M V P V	M Y P U	ALL:157	157
92	Ngamini	ngam1284	ALL		parcana	p a r c a n a	p a r T a n a	P V R K V N V	P A R C A N A	ALL:128	128
93	Ngarluma	ngar1287	ALL		cuɭu	c u ɭ u	T u L u	K V R V	C Y L Y	ALL:168	168
94	Narrinyeri	narr1259	ALL		tulda	t u l d a	t u l d a	T V R T V	T Y L T A	ALL:140	140
95	Northern_Coastal_Nyangumarta	nort2754	ALL		wir	w i r	w i r	W V R	W I R	ALL:167	167
96	Nyamal	nyam1271	ALL		wiːr	w iː r	w i r	W V R	W I R	ALL:1	1
97	Nyangumarta	nyan1301	ALL		wir	w i r	w i r	W V R	W I R	ALL:167	167
98	Nyunga	nyun1247	ALL		bunduŋ	b u n d u ŋ	b u n d u N	P V N T V N	P Y N T Y N	ALL:1	1
99	Paakantyi	darl1243	ALL		gudaguda	g u d a g u d a	g u d a g u d a	K V T V K V T V	K Y T A K Y T A	ALL:126	126
100	Panytyima	pany1241	ALL		cuɭu	c u ɭ u	T u L u	K V R V	C Y L Y	ALL:168	168
101	Banggarla	bang1339	ALL		padlujunu	p a d l u j u n u	p a d l u y u n u	P V T R V J V N V	P A T L Y J Y N Y	ALL:135	135
102	Bayungu	bayu1240	ALL		wurajimpa	w u r a j i m p a	w u r a y i m p a	W V R V J V M P V	W Y R A J I M P A	ALL:1	1
103	Pitjantjatjara	pitj1243	ALL		uwankaɹa	u w a n k a ɹ a	u w a n k a r a	V W V N K V R V	Y W A N K A R A	ALL:119	119
104	Ritarungo	rita1239	ALL		warpamʔ	w a r p a m ʔ	w a r p a m 7	W V R P V M H	W A R P A M H	ALL:121	121
105	Wagaya	waga1260	ALL		mukeɭ	m u k e ɭ	m u k e L	M V K V R	M Y K E L	ALL:148	148
106	Ngura	ngur1261	ALL		maru	m a r u	m a r u	M V R V	M A R Y	ALL:130	130
107	Warlpiri	warl1254	ALL		muku	m u k u	m u k u	M V K V	M Y K Y	ALL:122	122
108	Warumungu	waru1265	ALL		mukːu	m u kː u	m u k u	M V K V	M Y K Y	ALL:122	122
109	Wik-Mungkan	wikm1247	ALL		maˀmaŋkam	m a ˀm a ŋ k a m	m a m a N k a m	M V M V N K V M	M A M A N K A M	ALL:156	156
110	Wiradhuri	wira1262	ALL		bijaŋgalaŋ	b i j a ŋ g a l a ŋ	b i y a N g a l a N	P V J V N K V R V N	P I J A N K A L A N	ALL:147	147
111	Wirangu-Nauo	wira1260	ALL		jabu	j a b u	y a b u	J V P V	J A P Y	ALL:138	138
112	Yan-nhangu	yann1237	ALL		bukmak	b u k m a k	b u k m a k	P V K M V K	P Y K M A K	ALL:125	125
113	Yandruwandha	yand1253	ALL		malka	m a l k a	m a l k a	M V R K V	M A L K A	ALL:139	139
114	Yawarawarga	yawa1258	ALL		panina	p a n i n a	p a n i n a	P V N V N V	P A N I N A	ALL:152	152
115	Yindjibarndi	yind1247	ALL		culu	c u l u	T u l u	K V R V	C Y L Y	ALL:168	168
116	Yorta_Yorta	yort1237	ALL		wuta	w u t a	w u t a	W V T V	W Y T A	ALL:160	160
117	Yulparitja	yulp1238	ALL		laltu	l a l t u	l a l t u	R V R T V	L A L T Y	ALL:120	120
118	Yuwaalaraay	yuwa1242	ALL		ganu	g a n u	g a n u	K V N V	K A N Y	ALL:131	131
119	Yugambeh-Bandjalang	band1339	ALL		gumbih	g u m b i h	g u m b i h	K V M P V H	K Y M P I H	ALL:1	1
120	Djinang	djin1253	ALL		ŋajama	ŋ a j a m a	N a y a m a	N V J V M V	N A J A M A	ALL:124	124
121	Kumbainggar	kumb1268	ALL		biːn	b iː n	b i n	P V N	P I N	ALL:118	118
122	Adnyamathanha	adny1235	AND		adni	a d n i	a d n i	V T N V	A T N I	AND:202	202
123	Arabana	arab1267	AND		ncuɖu	n c u ɖ u	n T u d u	N K V T V	N C Y T Y	AND:204	204
124	Yugambeh-Bandjalang	band1339	AND		ŋula	ŋ u l a	N u l a	N V R V	N Y L A	AND:220	220
125	Dhangu	dhan1270	AND		ga	g a	g a	K V	K A	AND:223	223
126	Dhuwal	dhuw1249	AND		ga	g a	g a	K V	K A	AND:223	223
127	Dieri	dier1241	AND		ja	j a	y a	J V	J A	AND:225	225
128	Dyaabugay	dyaa1242	AND		cata	c a t a	T a t a	K V T V	C A T A	AND:181	181
129	Djambarrpuyngu	djam1256	AND		ga	g a	g a	K V	K A	AND:223	223
130	Djinang	djin1253	AND		a	a	a	V	A	AND:224	224
131	Gamilaraay	gami1243	AND		jilːibu	j i lː i b u	y i l i b u	J V R V P V	J I L I P Y	AND:1	1
132	Kumbainggar	kumb1268	AND		garaː	g a r aː	g a r a	K V R V	K A R A	AND:198	198
133	Gupapuyngu	gupa1247	AND		ga	g a	g a	K V	K A	AND:223	223
134	Gurindji	guri1247	AND		purpur	p u r p u r	p u r p u r	P V R P V R	P Y R P Y R	AND:185	185
135	Guyani	guya1249	AND		cudɹu	c u d ɹ u	T u d r u	K V T R V	C Y T R Y	AND:213	213
136	Djiwarli	djiw1241	AND		cibi	c i b i	T i b i	K V P V	C I P I	AND:195	195
137	Kalkutung	kalk1246	AND		jana	j a n a	y a n a	J V N V	J A N A	AND:193	193
138	Karadjeri	kara1476	AND		pa	p a	p a	P V	P A	AND:211	211
139	Kartujarra	kart1247	AND		wituka	w i t u k a	w i t u k a	W V T V K V	W I T Y K A	AND:218	218
140	Kaurna	kaur1267	AND		kuma	k u m a	k u m a	K V M V	K Y M A	AND:201	201
141	Kukatja	kuka1246	AND		kamu	k a m u	k a m u	K V M V	K A M Y	AND:189	189
142	Kuku-Yalanji	kuku1273	AND		ŋara	ŋ a r a	N a r a	N V R V	N A R A	AND:191	191
143	Gurdjar	gurd1238	AND		ar	a r	a r	V R	A R	AND:191	191
144	Kuuku-Ya_u	kuuk1238	AND		kuji	k u j i	k u y i	K V J V	K Y J I	AND:180	180
145	Kala_Lagaw_Ya	kala1377	AND		a	a	a	V	A	AND:224	224
146	Martu_Wangka	mart1256	AND		ka	k a	k a	K V	K A	AND:223	223
147	Muruwari	muru1266	AND		t̪aka	t̪ a k a	t a k a	T V K V	T A K A	AND:207	207
148	Ngaanyatjarra	ngaa1240	AND		ka	k a	k a	K V	K A	AND:223	223
149	Lower_Riverland	lowe1402	AND		meːto	m eː t o	m e t o	M V T V	M E T U	AND:200	200
150	Ngamini	ngam1284	AND		ja	j a	y a	J V	J A	AND:225	225
151	Narrinyeri	narr1259	AND		uŋenaŋ	u ŋ e n a ŋ	u N e n a N	V N V N V N	Y N E N A N	AND:187	187
152	Northern_Coastal_Nyangumarta	nort2754	AND		pa	p a	p a	P V	P A	AND:211	211
153	Nyamal	nyam1271	AND		pa	p a	p a	P V	P A	AND:1	1
154	Nyangumarta	nyan1301	AND		pa	p a	p a	P V	P A	AND:211	211
155	Nyunga	nyun1247	AND		guɖciɹ	g u ɖ c i ɹ	g u d T i r	K V T K V R	K Y T C I R	AND:190	190
156	Paakantyi	darl1243	AND		ŋa	ŋ a	N a	N V	N A	AND:184	184
157	Panytyima	pany1241	AND		kunu	k u n u	k u n u	K V N V	K Y N Y	AND:203	203
158	Banggarla	bang1339	AND		into	i n t o	i n t o	V N T V	I N T U	AND:215	215
159	Bayungu	bayu1240	AND		cibi	c i b i	T i b i	K V P V	C I P I	AND:195	195
160	Pitjantjatjara	pitj1243	AND		munu	m u n u	m u n u	M V N V	M Y N Y	AND:221	221
161	Ritarungo	rita1239	AND		bili	b i l i	b i l i	P V R V	P I L I	AND:182	182
162	Dhalandji	dhal1245	AND		cibi	c i b i	T i b i	K V P V	C I P I	AND:195	195
163	Dhargari	dhar1247	AND		paɹu	p a ɹ u	p a r u	P V R V	P A R Y	AND:196	196
164	Wagaya	waga1260	AND		pa	p a	p a	P V	P A	AND:211	211
165	Warlpiri	warl1254	AND		manu	m a n u	m a n u	M V N V	M A N Y	AND:221	221
166	Wanman	wanm1242	AND		kamu	k a m u	k a m u	K V M V	K A M Y	AND:189	189
167	Wariyangga	wari1262	AND		cipi	c i p i	T i p i	K V P V	C I P I	AND:195	195
168	Warumungu	waru1265	AND		kami	k a m i	k a m i	K V M V	K A M I	AND:189	189
169	Wathawurrung	wath1238	AND		baː	b aː	b a	P V	P A	AND:211	211
170	Wik-Mungkan	wikm1247	AND		aʔ	a ʔ	a 7	V H	A H	AND:224	224
171	Wiradhuri	wira1262	AND		gan̪aŋ	g a n̪ a ŋ	g a n a N	K V N V N	K A N A N	AND:217	217
172	Wirangu-Nauo	wira1260	AND		ba	b a	b a	P V	P A	AND:211	211
173	Yan-nhangu	yann1237	AND		ga	g a	g a	K V	K A	AND:223	223
174	Yandruwandha	yand1253	AND		ja	j a	y a	J V	J A	AND:225	225
175	Yawarawarga	yawa1258	AND		ŋoka	ŋ o k a	N o k a	N V K V	N U K A	AND:205	205
176	Yindjibarndi	yind1247	AND		mundu	m u n d u	m u n d u	M V N T V	M Y N T Y	AND:214	214
177	Yulparitja	yulp1238	AND		kamu	k a m u	k a m u	K V M V	K A M Y	AND:189	189
178	Yuwaalaraay	yuwa1242	AND		gaːlan̪a	g aː l a n̪ a	g a l a n a	K V R V N V	K A L A N A	AND:216	216
179	Adnyamathanha	adny1235	ASH		aɖɭa_imba	a ɖ ɭ a i m b a	a d L a i m b a	V T R V V M P V	A T L A I M P A	ASH:449	449
180	Alyawarr	alya1239	ASH		etnment̪	e t n m e n t̪	e t n m e n t	V T N M V N T	E T N M E N T	ASH:475	475
181	Arabana	arab1267	ASH		pudn̪u	p u d n̪ u	p u d n u	P V T N V	P Y T N Y	ASH:445	445
182	Yugambeh-Bandjalang	band1339	ASH		diman	d i m a n	d i m a n	T V M V N	T I M A N	ASH:487	487
183	Dhangu	dhan1270	ASH		ganuʔ	g a n u ʔ	g a n u 7	K V N V H	K A N Y H	ASH:433	433
184	Dhuwal	dhuw1249	ASH		ɭirgi	ɭ i r g i	L i r g i	R V R K V	L I R K I	ASH:437	437
185	Dieri	dier1241	ASH		puta	p u t a	p u t a	P V T V	P Y T A	ASH:446	446
186	Dyaabugay	dyaa1242	ASH		bulŋan	b u l ŋ a n	b u l N a n	P V R N V N	P Y L N A N	ASH:469	469
187	Djambarrpuyngu	djam1256	ASH		ganuʔ	g a n u ʔ	g a n u 7	K V N V H	K A N Y H	ASH:437	437
188	Djinang	djin1253	ASH		gibilbal	g i b i l b a l	g i b i l b a l	K V P V R P V R	K I P I L P A L	ASH:436	436
189	Gamilaraay	gami1243	ASH		giran	g i r a n	g i r a n	K V R V N	K I R A N	ASH:460	460
190	Kumbainggar	kumb1268	ASH		culaːr	c u l aː r	T u l a r	K V R V R	C Y L A R	ASH:474	474
191	Gupapuyngu	gupa1247	ASH		ɭirgi	ɭ i r g i	L i r g i	R V R K V	L I R K I	ASH:437	437
192	Gurindji	guri1247	ASH		cani	c a n i	T a n i	K V N V	C A N I	ASH:448	448
193	Guyani	guya1249	ASH		dultaɹa	d u l t a ɹ a	d u l t a r a	T V R T V R V	T Y L T A R A	ASH:455	455
194	Sydney	sydn1236	ASH		d̪ulaɹa	d̪ u l a ɹ a	d u l a r a	T V R V R V	T Y L A R A	ASH:1	1
195	Jaru	jaru1254	ASH		balgaɹa	b a l g a ɹ a	b a l g a r a	P V R K V R V	P A L K A R A	ASH:502	502
196	Djiwarli	djiw1241	ASH		ŋari	ŋ a r i	N a r i	N V R V	N A R I	ASH:472	472
197	Kalkutung	kalk1246	ASH		pumpa	p u m p a	p u m p a	P V M P V	P Y M P A	ASH:431	431
198	Karadjeri	kara1476	ASH		pulkaɹu	p u l k a ɹ u	p u l k a r u	P V R K V R V	P Y L K A R Y	ASH:441	441
199	Kartujarra	kart1247	ASH		cuɳpa	c u ɳ p a	T u n p a	K V N P V	C Y N P A	ASH:462	462
200	Kaurna	kaur1267	ASH		buʈa	b u ʈ a	b u t a	P V T V	P Y T A	ASH:446	446
201	Kukatja	kuka1246	ASH		kawaɳ	k a w a ɳ	k a w a n	K V W V N	K A W A N	ASH:502	502
202	Kuku-Yalanji	kuku1273	ASH		nulu	n u l u	n u l u	N V R V	N Y L Y	ASH:493	493
203	Gurdjar	gurd1238	ASH		noːŋ	n oː ŋ	n o N	N V N	N U N	ASH:491	491
204	Kuuku-Ya_u	kuuk1238	ASH		puɹka	p u ɹ k a	p u r k a	P V R K V	P Y R K A	ASH:483	483
205	Kala_Lagaw_Ya	kala1377	ASH		tibi	t i b i	t i b i	T V P V	T I P I	ASH:435	435
206	Margany	marg1253	ASH		bud̪a	b u d̪ a	b u d a	P V T V	P Y T A	ASH:446	446
207	Martu_Wangka	mart1256	ASH		cuɳpa	c u ɳ p a	T u n p a	K V N P V	C Y N P A	ASH:462	462
208	Mudburra	mudb1240	ASH		wubːa	w u bː a	w u b a	W V P V	W Y P A	ASH:434	434
209	Muruwari	muru1266	ASH		put̪a	p u t̪ a	p u t a	P V T V	P Y T A	ASH:446	446
210	Ngaanyatjarra	ngaa1240	ASH		tcuɳpa	t c u ɳ p a	t T u n p a	T K V N P V	T C Y N P A	ASH:462	462
211	Lower_Riverland	lowe1402	ASH		putko	p u t k o	p u t k o	P V T K V	P Y T K U	ASH:483	483
212	Ngamini	ngam1284	ASH		tuɹpa	t u ɹ p a	t u r p a	T V R P V	T Y R P A	ASH:447	447
213	Ngarinman	ngar1235	ASH		liɲaɖ	l i ɲ a ɖ	l i H a d	R V N V T	L I N A T	ASH:452	452
214	Ngarluma	ngar1287	ASH		miriɲ	m i r i ɲ	m i r i H	M V R V N	M I R I N	ASH:484	484
215	Narrinyeri	narr1259	ASH		wirace	w i r a c e	w i r a T e	W V R V K V	W I R A C E	ASH:458	458
216	Northern_Coastal_Nyangumarta	nort2754	ASH		puɳta	p u ɳ t a	p u n t a	P V N T V	P Y N T A	ASH:473	473
217	Nyamal	nyam1271	ASH		cunpa	c u n p a	T u n p a	K V N P V	C Y N P A	ASH:462	462
218	Nyangumarta	nyan1301	ASH		cuɳpa	c u ɳ p a	T u n p a	K V N P V	C Y N P A	ASH:462	462
219	Nyunga	nyun1247	ASH		buŋa	b u ŋ a	b u N a	P V N V	P Y N A	ASH:442	442
220	Paakantyi	darl1243	ASH		balba	b a l b a	b a l b a	P V R P V	P A L P A	ASH:439	439
221	Panytyima	pany1241	ASH		ŋari	ŋ a r i	N a r i	N V R V	N A R I	ASH:472	472
222	Banggarla	bang1339	ASH		muru	m u r u	m u r u	M V R V	M Y R Y	ASH:444	444
223	Bayungu	bayu1240	ASH		ŋari	ŋ a r i	N a r i	N V R V	N A R I	ASH:472	472
224	Pitjantjatjara	pitj1243	ASH		tiːtiː	t iː t iː	t i t i	T V T V	T I T I	ASH:432	432
225	Pitta_Pitta	pitt1247	ASH		pun̪u	p u n̪ u	p u n u	P V N V	P Y N Y	ASH:445	445
226	Ritarungo	rita1239	ASH		ganuʔ	g a n u ʔ	g a n u 7	K V N V H	K A N Y H	ASH:433	433
227	Dhalandji	dhal1245	ASH		ŋari	ŋ a r i	N a r i	N V R V	N A R I	ASH:472	472
